                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6305,                 1.8572,                 1.2193,                0.58472,                0.45485,                0.47256,                0.28681,                  1.631,                 1.6148,                 1.2997,             0.00017503,             0.00017503,             0.00017503
                      2,                 1.4661,                 1.2305,                 1.1424,                0.68848,                0.51927,                0.53926,                 0.3246,                 1.5782,                 1.4867,                 1.2784,             0.00034343,             0.00034343,             0.00034343
                      3,                 1.4702,                 1.1839,                 1.1448,                0.60779,                 0.5059,                0.52208,                 0.3184,                 1.5903,                 1.4177,                 1.2712,             0.00050488,             0.00050488,             0.00050488
                      4,                 1.4145,                 1.1214,                 1.1398,                0.65387,                0.53821,                0.57017,                0.34652,                 1.5308,                 1.3013,                 1.2421,             0.00049476,             0.00049476,             0.00049476
                      5,                 1.3967,                 1.0687,                 1.1303,                0.69487,                0.52971,                0.57642,                0.35082,                 1.4888,                 1.2994,                  1.217,             0.00048434,             0.00048434,             0.00048434
                      6,                 1.3524,                 1.0073,                 1.0997,                0.69891,                0.59566,                0.62643,                0.39228,                 1.4162,                 1.2018,                 1.1749,             0.00047393,             0.00047393,             0.00047393
                      7,                   1.33,                0.96125,                 1.0857,                0.70383,                0.57447,                 0.6199,                0.39249,                 1.3957,                 1.1347,                  1.172,             0.00046351,             0.00046351,             0.00046351
                      8,                 1.2931,                0.92501,                 1.0767,                0.67039,                  0.627,                0.64609,                 0.4069,                 1.3798,                 1.1116,                 1.1541,              0.0004531,              0.0004531,              0.0004531
                      9,                 1.2671,                0.89955,                  1.067,                0.69069,                0.63733,                0.65451,                0.41186,                 1.3951,                 1.1143,                 1.1637,             0.00044268,             0.00044268,             0.00044268
                     10,                 1.2547,                0.87453,                 1.0598,                0.74393,                 0.6608,                0.69778,                0.44522,                 1.3695,                 1.0412,                 1.1547,             0.00043227,             0.00043227,             0.00043227
                     11,                  1.232,                0.84035,                 1.0485,                0.68512,                0.67278,                0.68589,                0.44368,                 1.3415,                  1.045,                  1.132,             0.00042185,             0.00042185,             0.00042185
