                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                  1.222,                0.82264,                 1.0457,                0.75772,                0.63773,                0.69544,                0.45324,                 1.3192,                  1.036,                 1.1274,             0.00041144,             0.00041144,             0.00041144
                     13,                 1.2195,                0.81708,                  1.043,                0.78942,                0.68221,                0.73083,                0.47765,                 1.3079,                0.95197,                 1.1158,             0.00040102,             0.00040102,             0.00040102
                     14,                 1.1934,                0.79903,                 1.0304,                0.74725,                0.68104,                0.73825,                0.48059,                 1.2972,                 0.9301,                 1.1167,             0.00039061,             0.00039061,             0.00039061
                     15,                 1.1895,                0.79086,                 1.0278,                0.74156,                0.69542,                0.73604,                0.48895,                 1.2692,                0.95659,                  1.099,             0.00038019,             0.00038019,             0.00038019
                     16,                 1.1748,                0.77877,                 1.0286,                0.78181,                0.69527,                0.74838,                0.49451,                  1.275,                0.89151,                 1.1048,             0.00036978,             0.00036978,             0.00036978
                     17,                 1.1737,                0.76739,                 1.0223,                  0.757,                0.69937,                0.74752,                0.49533,                 1.2786,                0.90155,                 1.1063,             0.00035936,             0.00035936,             0.00035936
                     18,                 1.1481,                 0.7461,                 1.0132,                0.77769,                0.68709,                0.74361,                0.49299,                 1.2616,                0.91085,                 1.0914,             0.00034895,             0.00034895,             0.00034895
                     19,                 1.1446,                0.74608,                 1.0124,                  0.768,                0.69376,                0.74409,                0.49746,                 1.2479,                0.88481,                 1.0884,             0.00033853,             0.00033853,             0.00033853
                     20,                 1.1263,                0.72285,                 1.0057,                0.75994,                0.70996,                0.74647,                0.50374,                 1.2617,                0.90501,                 1.0965,             0.00032812,             0.00032812,             0.00032812
                     21,                  1.122,                0.71711,                 1.0025,                0.77393,                0.72328,                0.75697,                0.50988,                 1.2379,                0.86419,                 1.0861,              0.0003177,              0.0003177,              0.0003177
                     22,                 1.1196,                 0.7122,                0.99751,                0.76687,                 0.7328,                0.76046,                 0.5176,                 1.2191,                 0.8483,                 1.0754,             0.00030729,             0.00030729,             0.00030729
                     23,                 1.1116,                0.70078,                0.99792,                0.80061,                0.72575,                0.77929,                0.52166,                 1.2261,                0.83223,                 1.0796,             0.00029687,             0.00029687,             0.00029687
                     24,                 1.1017,                0.69447,                0.99731,                0.80874,                0.72597,                0.77592,                0.52044,                 1.2396,                0.82082,                  1.082,             0.00028646,             0.00028646,             0.00028646
                     25,                 1.0871,                0.66864,                 0.9821,                0.78941,                 0.7483,                  0.784,                0.53396,                 1.2082,                0.80789,                 1.0688,             0.00027604,             0.00027604,             0.00027604
                     26,                 1.0808,                0.67258,                0.98834,                0.80625,                0.74181,                0.78413,                0.53826,                 1.2069,                0.81744,                 1.0709,             0.00026563,             0.00026563,             0.00026563
                     27,                 1.0773,                0.67121,                0.98773,                0.79552,                0.74104,                0.79011,                0.54036,                 1.1981,                0.80081,                 1.0696,             0.00025522,             0.00025522,             0.00025522
                     28,                 1.0741,                0.65546,                0.98149,                0.81291,                0.74643,                0.79535,                0.54896,                 1.1997,                0.77865,                 1.0655,              0.0002448,              0.0002448,              0.0002448
                     29,                 1.0615,                0.64839,                 0.9781,                0.79406,                0.74164,                0.78854,                0.54745,                 1.1794,                0.78574,                  1.051,             0.00023439,             0.00023439,             0.00023439
                     30,                 1.0545,                0.63761,                0.97409,                0.81183,                0.74312,                0.79348,                0.54804,                 1.1905,                0.77498,                 1.0635,             0.00022397,             0.00022397,             0.00022397
                     31,                 1.0516,                0.63132,                0.97273,                 0.8028,                0.76109,                0.79747,                0.55479,                 1.1841,                0.76194,                 1.0595,             0.00021356,             0.00021356,             0.00021356
                     32,                 1.0363,                0.62272,                0.96894,                0.82347,                0.77153,                 0.8131,                0.56743,                 1.1747,                0.75269,                 1.0534,             0.00020314,             0.00020314,             0.00020314
                     33,                 1.0344,                0.61574,                0.96645,                0.83842,                0.76631,                0.81646,                0.57703,                  1.155,                0.74644,                 1.0419,             0.00019273,             0.00019273,             0.00019273
                     34,                 1.0294,                0.61963,                0.96503,                0.82199,                0.78005,                0.82241,                 0.5777,                 1.1525,                0.72539,                 1.0434,             0.00018231,             0.00018231,             0.00018231
                     35,                 1.0238,                0.60546,                0.96233,                0.82478,                0.78132,                0.82299,                0.58494,                 1.1427,                0.71959,                 1.0398,              0.0001719,              0.0001719,              0.0001719
                     36,                 1.0064,                0.59798,                0.95845,                0.83783,                0.77109,                0.82252,                0.58125,                 1.1377,                0.71641,                 1.0361,             0.00016148,             0.00016148,             0.00016148
                     37,                 0.9984,                0.58806,                0.95209,                0.83526,                0.76293,                0.82356,                  0.581,                 1.1383,                0.72306,                  1.032,             0.00015107,             0.00015107,             0.00015107
                     38,                0.99971,                0.59138,                0.95139,                0.83057,                0.78109,                 0.8263,                0.58655,                 1.1289,                0.70043,                 1.0338,             0.00014065,             0.00014065,             0.00014065
                     39,                0.99647,                0.57924,                0.95108,                0.84019,                0.77569,                0.82354,                0.58587,                 1.1247,                0.71357,                 1.0315,             0.00013024,             0.00013024,             0.00013024
                     40,                 0.9825,                0.57147,                0.94601,                0.82954,                0.78809,                 0.8298,                0.59109,                 1.1206,                0.69496,                 1.0264,             0.00011982,             0.00011982,             0.00011982
                     41,                0.95325,                0.54432,                0.94529,                0.84583,                0.77832,                0.82899,                0.59068,                  1.122,                0.70698,                 1.0304,             0.00010941,             0.00010941,             0.00010941
                     42,                0.93797,                 0.5314,                0.94187,                 0.8518,                0.77424,                0.83136,                0.59189,                 1.1168,                0.69883,                 1.0284,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                0.93724,                0.52504,                0.94386,                0.84912,                0.77705,                0.83132,                0.59239,                 1.1182,                0.69945,                 1.0291,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                0.93154,                0.51949,                0.93769,                0.84197,                0.79033,                0.83585,                0.60109,                 1.1103,                0.69118,                 1.0279,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                0.92186,                0.51446,                0.93528,                0.84985,                0.78077,                0.83267,                0.60109,                 1.1107,                0.68253,                 1.0281,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.91491,                 0.5096,                0.93468,                0.86108,                0.76891,                0.83529,                0.60099,                 1.1041,                0.67988,                 1.0238,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.90283,                0.49887,                 0.9278,                0.84826,                0.77864,                0.83384,                0.60434,                  1.097,                  0.671,                 1.0216,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                0.89355,                0.49163,                0.92829,                0.84016,                0.78618,                0.83548,                0.60451,                 1.1011,                0.67776,                 1.0226,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.88466,                 0.4841,                0.92166,                0.85134,                0.78572,                0.83848,                0.60677,                 1.0899,                0.66688,                 1.0172,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                0.88608,                0.48225,                0.92013,                0.84006,                0.79242,                0.83794,                0.60794,                 1.0911,                0.66427,                 1.0166,             1.5675e-05,             1.5675e-05,             1.5675e-05
