                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0635,                0.65067,                0.96096,                0.82513,                 0.7435,                0.80442,                0.55366,                 1.1783,                0.77806,                 1.0287,              0.0001719,              0.0001719,              0.0001719
                     36,                 1.0448,                0.64187,                0.95743,                0.83571,                0.73617,                 0.8106,                0.55933,                 1.1736,                0.77885,                 1.0237,             0.00016148,             0.00016148,             0.00016148
                     37,                 1.0382,                0.62763,                0.95111,                0.81634,                0.76257,                0.80588,                0.56115,                 1.1666,                0.76843,                 1.0205,             0.00015107,             0.00015107,             0.00015107
                     38,                 1.0289,                0.62482,                0.94712,                0.82519,                0.75885,                0.80897,                0.56572,                 1.1557,                0.75509,                 1.0155,             0.00014065,             0.00014065,             0.00014065
                     39,                 1.0367,                0.62078,                0.94891,                0.81612,                0.77351,                0.81419,                0.56552,                 1.1561,                0.76714,                 1.0159,             0.00013024,             0.00013024,             0.00013024
                     40,                 1.0164,                0.60584,                0.94425,                0.83616,                0.77095,                0.82336,                0.57545,                 1.1576,                0.74041,                 1.0138,             0.00011982,             0.00011982,             0.00011982
                     41,                0.98873,                0.58375,                0.94083,                0.84158,                0.75229,                0.81546,                0.57136,                 1.1544,                0.74815,                 1.0169,             0.00010941,             0.00010941,             0.00010941
                     42,                0.98203,                0.57302,                0.93976,                0.83689,                0.77042,                0.82189,                0.57313,                 1.1581,                0.74987,                 1.0153,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                0.97663,                0.57224,                0.93957,                0.82608,                0.77124,                0.82152,                0.57383,                 1.1556,                0.74933,                 1.0152,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                0.97429,                0.56722,                0.93547,                0.84089,                0.77932,                 0.8233,                0.57679,                 1.1442,                0.75655,                 1.0115,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                 0.9694,                0.55954,                0.93673,                0.82803,                0.78506,                0.83192,                0.58848,                 1.1403,                0.72819,                 1.0098,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.95684,                0.55023,                0.93393,                0.85195,                0.78376,                0.83445,                0.59207,                 1.1224,                0.71382,                 1.0018,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.94371,                0.53897,                0.92624,                0.83699,                0.78695,                0.83247,                 0.5897,                  1.124,                0.71806,                 1.0037,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                0.93807,                0.53396,                0.92643,                0.84936,                0.78221,                0.83329,                0.59124,                 1.1224,                0.71802,                 1.0022,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.92719,                0.52553,                0.92158,                0.84504,                0.79063,                0.83501,                0.59474,                 1.1132,                0.70531,                0.99843,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                0.92823,                 0.5212,                0.92048,                0.84976,                0.78668,                0.83693,                0.59779,                  1.116,                0.69903,                0.99964,             1.5675e-05,             1.5675e-05,             1.5675e-05
