                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9299,                  3.076,                 1.2719,                0.60304,                0.25979,                0.25995,                0.14516,                 1.8444,                 2.7149,                 1.2823,             0.00017503,             0.00017503,             0.00017503
                      2,                 1.7088,                 1.8917,                 1.1745,                0.47319,                0.38596,                0.38962,                0.23056,                 1.7505,                 2.1035,                 1.2609,             0.00034343,             0.00034343,             0.00034343
                      3,                 1.6728,                  1.667,                 1.1595,                0.57463,                0.43132,                 0.4378,                0.25853,                 1.6699,                 1.7866,                 1.2032,             0.00050488,             0.00050488,             0.00050488
                      4,                 1.5987,                 1.5253,                 1.1443,                0.60029,                0.44807,                0.45962,                0.27013,                 1.6552,                 1.7161,                 1.2115,             0.00049476,             0.00049476,             0.00049476
                      5,                 1.5653,                 1.4191,                 1.1337,                0.56564,                0.48546,                 0.4996,                 0.3031,                 1.5894,                 1.5264,                 1.1934,             0.00048434,             0.00048434,             0.00048434
                      6,                 1.5385,                 1.3434,                 1.1148,                0.61944,                0.51849,                0.52834,                0.31573,                 1.5686,                 1.5361,                 1.1554,             0.00047393,             0.00047393,             0.00047393
                      7,                 1.5254,                 1.2888,                 1.1023,                0.66591,                0.50213,                0.54305,                0.33579,                 1.5386,                  1.437,                 1.1513,             0.00046351,             0.00046351,             0.00046351
                      8,                 1.4778,                 1.2344,                 1.0911,                0.64296,                0.53602,                0.56098,                0.34743,                 1.5112,                  1.417,                 1.1495,              0.0004531,              0.0004531,              0.0004531
                      9,                 1.4639,                 1.1998,                 1.0863,                0.67321,                0.55159,                0.57472,                0.34905,                  1.524,                 1.3452,                 1.1551,             0.00044268,             0.00044268,             0.00044268
                     10,                 1.4485,                 1.1503,                 1.0769,                0.68446,                0.55244,                0.58503,                0.36135,                 1.5123,                 1.3503,                 1.1495,             0.00043227,             0.00043227,             0.00043227
                     11,                 1.4292,                  1.118,                  1.071,                0.62389,                0.58669,                0.58902,                0.35986,                 1.5049,                 1.4105,                 1.1449,             0.00042185,             0.00042185,             0.00042185
                     12,                 1.4178,                 1.0919,                  1.067,                0.67908,                0.58292,                0.61976,                0.38471,                 1.4599,                 1.2903,                 1.1234,             0.00041144,             0.00041144,             0.00041144
                     13,                 1.4152,                 1.0793,                  1.064,                 0.6745,                0.58034,                0.61837,                0.38431,                  1.465,                 1.2646,                 1.1313,             0.00040102,             0.00040102,             0.00040102
                     14,                 1.3924,                 1.0545,                 1.0546,                0.69975,                0.60116,                 0.6331,                0.39318,                 1.4477,                 1.2424,                 1.1167,             0.00039061,             0.00039061,             0.00039061
                     15,                 1.3887,                 1.0496,                 1.0528,                 0.7001,                0.62042,                0.64285,                0.40733,                 1.4321,                 1.2456,                  1.109,             0.00038019,             0.00038019,             0.00038019
                     16,                 1.3776,                 1.0435,                 1.0528,                0.70281,                0.59569,                0.62327,                0.39383,                 1.4287,                 1.1763,                 1.1042,             0.00036978,             0.00036978,             0.00036978
                     17,                 1.3843,                 1.0275,                 1.0502,                0.71481,                0.60601,                0.64771,                0.41465,                 1.4169,                 1.1736,                 1.0957,             0.00035936,             0.00035936,             0.00035936
                     18,                 1.3542,                 1.0086,                 1.0399,                 0.7067,                0.61967,                0.65234,                 0.4138,                 1.4248,                 1.1695,                 1.0994,             0.00034895,             0.00034895,             0.00034895
                     19,                 1.3538,                0.99795,                 1.0391,                0.71983,                0.62556,                0.66263,                 0.4208,                 1.4038,                 1.1698,                 1.0901,             0.00033853,             0.00033853,             0.00033853
                     20,                 1.3369,                0.97647,                 1.0343,                0.71444,                0.65921,                0.67712,                0.43685,                 1.4013,                 1.1377,                 1.0849,             0.00032812,             0.00032812,             0.00032812
