                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                 1.3334,                0.96552,                 1.0301,                0.73128,                0.64952,                0.67451,                0.42422,                 1.4049,                 1.1529,                 1.0967,              0.0003177,              0.0003177,              0.0003177
                     22,                 1.3312,                0.96412,                 1.0247,                0.75661,                0.62752,                0.68273,                0.43354,                 1.3988,                 1.1152,                 1.0817,             0.00030729,             0.00030729,             0.00030729
                     23,                 1.3306,                0.95179,                 1.0259,                 0.7695,                0.65087,                0.69395,                0.44099,                 1.3952,                 1.1002,                 1.0776,             0.00029687,             0.00029687,             0.00029687
                     24,                 1.3097,                0.93985,                 1.0233,                0.77547,                0.65183,                0.69761,                0.44514,                 1.3976,                 1.0742,                 1.0852,             0.00028646,             0.00028646,             0.00028646
                     25,                 1.3111,                0.92155,                 1.0161,                0.77035,                0.64782,                0.69148,                0.44119,                 1.3849,                 1.0683,                 1.0801,             0.00027604,             0.00027604,             0.00027604
                     26,                 1.2951,                0.92279,                 1.0174,                0.74412,                0.65843,                0.69213,                0.44899,                 1.3753,                 1.1006,                 1.0687,             0.00026563,             0.00026563,             0.00026563
                     27,                 1.2956,                 0.9158,                 1.0181,                0.77243,                0.65122,                 0.7046,                0.45585,                  1.374,                 1.0744,                  1.071,             0.00025522,             0.00025522,             0.00025522
                     28,                 1.3058,                0.90803,                 1.0155,                0.78349,                0.65054,                0.71539,                0.46639,                 1.3527,                 1.0428,                 1.0651,              0.0002448,              0.0002448,              0.0002448
                     29,                 1.2887,                0.89387,                 1.0137,                0.78834,                 0.6588,                0.71655,                0.46791,                 1.3688,                 1.0306,                 1.0631,             0.00023439,             0.00023439,             0.00023439
                     30,                 1.2857,                0.88955,                 1.0107,                0.77593,                0.65883,                0.70647,                0.46289,                 1.3637,                 1.0424,                 1.0657,             0.00022397,             0.00022397,             0.00022397
                     31,                 1.2818,                0.88376,                 1.0087,                0.78198,                0.67543,                0.72269,                0.47373,                 1.3486,                 1.0231,                 1.0582,             0.00021356,             0.00021356,             0.00021356
                     32,                 1.2665,                0.86694,                  1.002,                0.79375,                0.67238,                0.71759,                0.47143,                  1.349,                  1.018,                  1.055,             0.00020314,             0.00020314,             0.00020314
                     33,                 1.2661,                 0.8661,                 1.0031,                0.78536,                0.68515,                 0.7355,                0.48276,                 1.3448,                  1.009,                  1.054,             0.00019273,             0.00019273,             0.00019273
                     34,                 1.2687,                0.87272,                 1.0041,                0.76195,                0.68918,                0.72455,                0.47219,                 1.3442,                 1.0146,                 1.0565,             0.00018231,             0.00018231,             0.00018231
                     35,                 1.2643,                0.86586,                 1.0023,                0.80477,                0.68473,                0.73396,                0.48709,                 1.3314,                0.99897,                 1.0495,              0.0001719,              0.0001719,              0.0001719
                     36,                 1.2413,                0.85025,                0.99872,                0.79935,                0.68554,                0.72658,                 0.4822,                 1.3332,                0.97986,                 1.0496,             0.00016148,             0.00016148,             0.00016148
                     37,                 1.2435,                0.84222,                0.99449,                0.79202,                0.69518,                0.73835,                0.48624,                 1.3321,                0.96845,                 1.0491,             0.00015107,             0.00015107,             0.00015107
                     38,                  1.236,                0.83628,                0.99096,                0.79167,                0.69247,                0.73581,                0.48982,                 1.3202,                0.97626,                 1.0449,             0.00014065,             0.00014065,             0.00014065
                     39,                 1.2488,                0.83883,                0.99506,                0.77958,                0.70465,                0.74595,                0.49503,                 1.3127,                0.97588,                 1.0419,             0.00013024,             0.00013024,             0.00013024
                     40,                 1.2279,                0.82494,                  0.989,                0.80744,                0.69138,                0.75172,                0.50131,                 1.3154,                0.95622,                 1.0416,             0.00011982,             0.00011982,             0.00011982
                     41,                  1.192,                0.80261,                0.98769,                0.81266,                0.69887,                0.75014,                0.49516,                 1.3216,                0.96168,                 1.0401,             0.00010941,             0.00010941,             0.00010941
                     42,                 1.1805,                0.78924,                0.98433,                0.81687,                0.69842,                0.75269,                0.50056,                 1.3116,                0.95634,                 1.0408,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                 1.1808,                0.79448,                0.98791,                0.82298,                0.69269,                0.75339,                0.50538,                 1.3118,                0.95742,                 1.0394,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 1.1813,                0.78165,                0.98408,                0.80959,                0.70321,                0.75758,                0.50679,                 1.3078,                0.94519,                 1.0396,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                  1.177,                0.78077,                 0.9861,                0.82116,                 0.7054,                0.75784,                0.50866,                 1.3068,                0.93914,                 1.0393,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                 1.1614,                0.77829,                0.98117,                 0.8107,                0.70413,                0.75586,                0.50825,                 1.3044,                   0.94,                 1.0344,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                  1.156,                0.75905,                0.97553,                0.81199,                0.70791,                0.75832,                0.50984,                 1.2956,                0.93201,                 1.0345,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                 1.1452,                0.74903,                0.97615,                0.81547,                0.70578,                0.75734,                0.51128,                 1.2922,                0.93342,                 1.0322,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                  1.139,                0.75126,                0.97166,                0.82044,                0.70899,                   0.76,                0.51498,                 1.2874,                0.92875,                 1.0309,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                 1.1501,                0.74757,                  0.974,                 0.8071,                0.71055,                0.75985,                0.51454,                  1.288,                0.91859,                  1.031,             1.5675e-05,             1.5675e-05,             1.5675e-05
